LOCALITY_CODE,LOCALITYNAME,ltv_voters,enr_name,enr_ballots,Locality,Delta,pct
001,ACCOMACK COUNTY,12294,ACCOMACK COUNTY,12311,ACCOMACK COUNTY,-17,0.13827883520416462
003,ALBEMARLE COUNTY,49404,ALBEMARLE COUNTY,49344,ALBEMARLE COUNTY,60,0.12144765606023804
005,ALLEGHANY COUNTY,5729,ALLEGHANY COUNTY,5733,ALLEGHANY COUNTY,-4,0.0698202129516495
007,AMELIA COUNTY,6169,AMELIA COUNTY,6162,AMELIA COUNTY,7,0.11347057869995136
009,AMHERST COUNTY,12908,AMHERST COUNTY,12892,AMHERST COUNTY,16,0.12395413696932135
011,APPOMATTOX COUNTY,7340,APPOMATTOX COUNTY,7328,APPOMATTOX COUNTY,12,0.16348773841961853
013,ARLINGTON COUNTY,84048,ARLINGTON COUNTY,84089,ARLINGTON COUNTY,-41,0.0487816485817628
015,AUGUSTA COUNTY,34092,AUGUSTA COUNTY,34109,AUGUSTA COUNTY,-17,0.04986507098439516
017,BATH COUNTY,1860,BATH COUNTY,1855,BATH COUNTY,5,0.2688172043010753
019,BEDFORD COUNTY,38612,BEDFORD COUNTY,38563,BEDFORD COUNTY,49,0.12690355329949238
021,BLAND COUNTY,2497,BLAND COUNTY,2499,BLAND COUNTY,-2,0.08009611533840609
023,BOTETOURT COUNTY,16753,BOTETOURT COUNTY,16740,BOTETOURT COUNTY,13,0.07759804214170597
025,BRUNSWICK COUNTY,5621,BRUNSWICK COUNTY,5617,BRUNSWICK COUNTY,4,0.07116171499733144
027,BUCHANAN COUNTY,5274,BUCHANAN COUNTY,5277,BUCHANAN COUNTY,-3,0.05688282138794084
029,BUCKINGHAM COUNTY,5962,BUCKINGHAM COUNTY,5930,BUCKINGHAM COUNTY,32,0.5367326400536733
031,CAMPBELL COUNTY,22105,CAMPBELL COUNTY,22299,CAMPBELL COUNTY,-194,0.8776294955892333
033,CAROLINE COUNTY,12270,CAROLINE COUNTY,12288,CAROLINE COUNTY,-18,0.1466992665036675
035,CARROLL COUNTY,11560,CARROLL COUNTY,11565,CARROLL COUNTY,-5,0.043252595155709346
036,CHARLES CITY COUNTY,3012,CHARLES CITY COUNTY,2995,CHARLES CITY COUNTY,17,0.5644090305444888
037,CHARLOTTE COUNTY,4562,CHARLOTTE COUNTY,4554,CHARLOTTE COUNTY,8,0.17536168347216133
041,CHESTERFIELD COUNTY,151882,CHESTERFIELD COUNTY,151885,CHESTERFIELD COUNTY,-3,0.001975217603139279
043,CLARKE COUNTY,7294,CLARKE COUNTY,7303,CLARKE COUNTY,-9,0.12338908692075677
045,CRAIG COUNTY,2259,CRAIG COUNTY,2259,CRAIG COUNTY,0,0.0
047,CULPEPER COUNTY,20042,CULPEPER COUNTY,20020,CULPEPER COUNTY,22,0.10976948408342481
049,CUMBERLAND COUNTY,4063,CUMBERLAND COUNTY,4069,CUMBERLAND COUNTY,-6,0.14767413241447205
051,DICKENSON COUNTY,4294,DICKENSON COUNTY,4293,DICKENSON COUNTY,1,0.02328830926874709
053,DINWIDDIE COUNTY,11110,DINWIDDIE COUNTY,11104,DINWIDDIE COUNTY,6,0.054005400540054004
057,ESSEX COUNTY,4480,ESSEX COUNTY,4474,ESSEX COUNTY,6,0.13392857142857142
059,FAIRFAX COUNTY,386216,FAIRFAX COUNTY,386191,FAIRFAX COUNTY,25,0.006473061706402636
061,FAUQUIER COUNTY,32132,FAUQUIER COUNTY,32143,FAUQUIER COUNTY,-11,0.03423378563425868
063,FLOYD COUNTY,7183,FLOYD COUNTY,7184,FLOYD COUNTY,-1,0.013921759710427398
065,FLUVANNA COUNTY,12567,FLUVANNA COUNTY,12550,FLUVANNA COUNTY,17,0.13527492639452535
067,FRANKLIN COUNTY,23233,FRANKLIN COUNTY,23219,FRANKLIN COUNTY,14,0.06025911419102139
069,FREDERICK COUNTY,37312,FREDERICK COUNTY,37252,FREDERICK COUNTY,60,0.16080617495711835
071,GILES COUNTY,6355,GILES COUNTY,6349,GILES COUNTY,6,0.0944138473642801
073,GLOUCESTER COUNTY,17119,GLOUCESTER COUNTY,17164,GLOUCESTER COUNTY,-45,0.26286582160172905
075,GOOCHLAND COUNTY,16079,GOOCHLAND COUNTY,16024,GOOCHLAND COUNTY,55,0.3420610734498414
077,GRAYSON COUNTY,6126,GRAYSON COUNTY,6133,GRAYSON COUNTY,-7,0.11426705843943846
079,GREENE COUNTY,8967,GREENE COUNTY,8959,GREENE COUNTY,8,0.08921601427456229
081,GREENSVILLE COUNTY,3134,GREENSVILLE COUNTY,3142,GREENSVILLE COUNTY,-8,0.2552648372686663
083,HALIFAX COUNTY,12844,HALIFAX COUNTY,12846,HALIFAX COUNTY,-2,0.015571473061351605
085,HANOVER COUNTY,56035,HANOVER COUNTY,56018,HANOVER COUNTY,17,0.030338181493709288
087,HENRICO COUNTY,129781,HENRICO COUNTY,129648,HENRICO COUNTY,133,0.10248033225202456
089,HENRY COUNTY,16925,HENRY COUNTY,16995,HENRY COUNTY,-70,0.413589364844904
091,HIGHLAND COUNTY,1146,HIGHLAND COUNTY,1147,HIGHLAND COUNTY,-1,0.08726003490401396
093,ISLE OF WIGHT COUNTY,18452,ISLE OF WIGHT COUNTY,18408,ISLE OF WIGHT COUNTY,44,0.2384565358768697
095,JAMES CITY COUNTY,38757,JAMES CITY COUNTY,38779,JAMES CITY COUNTY,-22,0.05676393941739556
097,KING & QUEEN COUNTY,3164,KING & QUEEN COUNTY,3159,KING & QUEEN COUNTY,5,0.15802781289506954
099,KING GEORGE COUNTY,11145,KING GEORGE COUNTY,11141,KING GEORGE COUNTY,4,0.03589053387169134
101,KING WILLIAM COUNTY,8733,KING WILLIAM COUNTY,8713,KING WILLIAM COUNTY,20,0.22901637467078895
103,LANCASTER COUNTY,5818,LANCASTER COUNTY,5811,LANCASTER COUNTY,7,0.12031625988312133
105,LEE COUNTY,6320,LEE COUNTY,6321,LEE COUNTY,-1,0.015822784810126583
107,LOUDOUN COUNTY,148108,LOUDOUN COUNTY,147728,LOUDOUN COUNTY,380,0.2565695303427229
109,LOUISA COUNTY,18115,LOUISA COUNTY,18064,LOUISA COUNTY,51,0.2815346398012697
111,LUNENBURG COUNTY,4388,LUNENBURG COUNTY,4398,LUNENBURG COUNTY,-10,0.22789425706472194
113,MADISON COUNTY,6238,MADISON COUNTY,6237,MADISON COUNTY,1,0.016030779095864058
115,MATHEWS COUNTY,4708,MATHEWS COUNTY,4702,MATHEWS COUNTY,6,0.1274426508071368
117,MECKLENBURG COUNTY,11567,MECKLENBURG COUNTY,11536,MECKLENBURG COUNTY,31,0.2680038039249589
119,MIDDLESEX COUNTY,5448,MIDDLESEX COUNTY,5440,MIDDLESEX COUNTY,8,0.14684287812041116
121,MONTGOMERY COUNTY,32241,MONTGOMERY COUNTY,32292,MONTGOMERY COUNTY,-51,0.15818367916627896
125,NELSON COUNTY,7217,NELSON COUNTY,7215,NELSON COUNTY,2,0.02771234585007621
127,NEW KENT COUNTY,13017,NEW KENT COUNTY,13007,NEW KENT COUNTY,10,0.07682261657832067
131,NORTHAMPTON COUNTY,5133,NORTHAMPTON COUNTY,5121,NORTHAMPTON COUNTY,12,0.23378141437755698
133,NORTHUMBERLAND COUNTY,6420,NORTHUMBERLAND COUNTY,6408,NORTHUMBERLAND COUNTY,12,0.1869158878504673
135,NOTTOWAY COUNTY,5067,NOTTOWAY COUNTY,5076,NOTTOWAY COUNTY,-9,0.17761989342806395
137,ORANGE COUNTY,16349,ORANGE COUNTY,16335,ORANGE COUNTY,14,0.08563214875527556
139,PAGE COUNTY,9355,PAGE COUNTY,9366,PAGE COUNTY,-11,0.11758417958311063
141,PATRICK COUNTY,6909,PATRICK COUNTY,6905,PATRICK COUNTY,4,0.0578954986249819
143,PITTSYLVANIA COUNTY,24719,PITTSYLVANIA COUNTY,24713,PITTSYLVANIA COUNTY,6,0.024272826570654153
145,POWHATAN COUNTY,16078,POWHATAN COUNTY,16093,POWHATAN COUNTY,-15,0.09329518596840403
147,PRINCE EDWARD COUNTY,6952,PRINCE EDWARD COUNTY,6938,PRINCE EDWARD COUNTY,14,0.20138089758342925
149,PRINCE GEORGE COUNTY,12657,PRINCE GEORGE COUNTY,12651,PRINCE GEORGE COUNTY,6,0.04740459824602986
153,PRINCE WILLIAM COUNTY,146694,PRINCE WILLIAM COUNTY,146602,PRINCE WILLIAM COUNTY,92,0.06271558482282848
155,PULASKI COUNTY,12331,PULASKI COUNTY,12308,PULASKI COUNTY,23,0.1865217743897494
157,RAPPAHANNOCK COUNTY,3895,RAPPAHANNOCK COUNTY,3901,RAPPAHANNOCK COUNTY,-6,0.1540436456996149
159,RICHMOND COUNTY,3049,RICHMOND COUNTY,3049,RICHMOND COUNTY,0,0.0
161,ROANOKE COUNTY,40498,ROANOKE COUNTY,40456,ROANOKE COUNTY,42,0.10370882512716678
163,ROCKBRIDGE COUNTY,9805,ROCKBRIDGE COUNTY,9805,ROCKBRIDGE COUNTY,0,0.0
165,ROCKINGHAM COUNTY,36334,ROCKINGHAM COUNTY,36357,ROCKINGHAM COUNTY,-23,0.06330159079649915
167,RUSSELL COUNTY,9073,RUSSELL COUNTY,9070,RUSSELL COUNTY,3,0.033065138322495316
169,SCOTT COUNTY,7574,SCOTT COUNTY,7576,SCOTT COUNTY,-2,0.026406126221283337
171,SHENANDOAH COUNTY,18344,SHENANDOAH COUNTY,18340,SHENANDOAH COUNTY,4,0.021805494984736155
173,SMYTH COUNTY,9725,SMYTH COUNTY,9778,SMYTH COUNTY,-53,0.5449871465295629
175,SOUTHAMPTON COUNTY,7134,SOUTHAMPTON COUNTY,7129,SOUTHAMPTON COUNTY,5,0.07008690776562938
177,SPOTSYLVANIA COUNTY,54920,SPOTSYLVANIA COUNTY,54914,SPOTSYLVANIA COUNTY,6,0.010924981791697014
179,STAFFORD COUNTY,56473,STAFFORD COUNTY,56479,STAFFORD COUNTY,-6,0.010624546243337524
181,SURRY COUNTY,3414,SURRY COUNTY,3420,SURRY COUNTY,-6,0.17574692442882248
183,SUSSEX COUNTY,1307,SUSSEX COUNTY,3531,SUSSEX COUNTY,-2224,170.16067329762816
185,TAZEWELL COUNTY,12789,TAZEWELL COUNTY,12787,TAZEWELL COUNTY,2,0.01563843928375948
187,WARREN COUNTY,16180,WARREN COUNTY,16201,WARREN COUNTY,-21,0.12978986402966625
191,WASHINGTON COUNTY,20471,WASHINGTON COUNTY,20443,WASHINGTON COUNTY,28,0.13677885789653657
193,WESTMORELAND COUNTY,8064,WESTMORELAND COUNTY,8063,WESTMORELAND COUNTY,1,0.01240079365079365
195,WISE COUNTY,10105,WISE COUNTY,10096,WISE COUNTY,9,0.08906481939633845
197,WYTHE COUNTY,10972,WYTHE COUNTY,10970,WYTHE COUNTY,2,0.01822821728034998
199,YORK COUNTY,29297,YORK COUNTY,29255,YORK COUNTY,42,0.14335938833327644
510,ALEXANDRIA CITY,52326,ALEXANDRIA CITY,52154,ALEXANDRIA CITY,172,0.32870848144325954
520,BRISTOL CITY,4382,BRISTOL CITY,4390,BRISTOL CITY,-8,0.18256503879507074
530,BUENA VISTA CITY,1817,BUENA VISTA CITY,1833,BUENA VISTA CITY,-16,0.8805723720418271
540,CHARLOTTESVILLE CITY,15723,CHARLOTTESVILLE CITY,15731,CHARLOTTESVILLE CITY,-8,0.05088087515105261
550,CHESAPEAKE CITY,86836,CHESAPEAKE CITY,86760,CHESAPEAKE CITY,76,0.08752130452807591
570,COLONIAL HEIGHTS CITY,6177,COLONIAL HEIGHTS CITY,6182,COLONIAL HEIGHTS CITY,-5,0.08094544277157197
580,COVINGTON CITY,507,COVINGTON CITY,1583,COVINGTON CITY,-1076,212.2287968441815
590,DANVILLE CITY,11305,DANVILLE CITY,11310,DANVILLE CITY,-5,0.044228217602830605
595,EMPORIA CITY,1516,EMPORIA CITY,1519,EMPORIA CITY,-3,0.1978891820580475
600,FAIRFAX CITY,9251,FAIRFAX CITY,9244,FAIRFAX CITY,7,0.07566749540590206
610,FALLS CHURCH CITY,6592,FALLS CHURCH CITY,6570,FALLS CHURCH CITY,22,0.33373786407766987
620,FRANKLIN CITY,2692,FRANKLIN CITY,2679,FRANKLIN CITY,13,0.48291233283803864
630,FREDERICKSBURG CITY,8706,FREDERICKSBURG CITY,8695,FREDERICKSBURG CITY,11,0.12634964392373077
640,GALAX CITY,1811,GALAX CITY,1811,GALAX CITY,0,0.0
650,HAMPTON CITY,42823,HAMPTON CITY,42782,HAMPTON CITY,41,0.0957429418770287
660,HARRISONBURG CITY,10697,HARRISONBURG CITY,10737,HARRISONBURG CITY,-40,0.3739366177432925
670,HOPEWELL CITY,5759,HOPEWELL CITY,5775,HOPEWELL CITY,-16,0.27782601146032293
678,LEXINGTON CITY,1912,LEXINGTON CITY,1915,LEXINGTON CITY,-3,0.15690376569037656
680,LYNCHBURG CITY,24971,LYNCHBURG CITY,25026,LYNCHBURG CITY,-55,0.22025549637579592
683,MANASSAS CITY,10386,MANASSAS CITY,10360,MANASSAS CITY,26,0.2503369921047564
685,MANASSAS PARK CITY,3464,MANASSAS PARK CITY,3468,MANASSAS PARK CITY,-4,0.11547344110854503
690,MARTINSVILLE CITY,3538,MARTINSVILLE CITY,3538,MARTINSVILLE CITY,0,0.0
700,NEWPORT NEWS CITY,50772,NEWPORT NEWS CITY,50589,NEWPORT NEWS CITY,183,0.36043488536988894
710,NORFOLK CITY,56065,NORFOLK CITY,56044,NORFOLK CITY,21,0.037456523677873894
720,NORTON CITY,889,NORTON CITY,892,NORTON CITY,-3,0.3374578177727784
730,PETERSBURG CITY,8510,PETERSBURG CITY,8494,PETERSBURG CITY,16,0.18801410105757932
735,POQUOSON CITY,5974,POQUOSON CITY,5977,POQUOSON CITY,-3,0.05021760964178105
740,PORTSMOUTH CITY,27763,PORTSMOUTH CITY,27734,PORTSMOUTH CITY,29,0.10445557036343335
750,RADFORD CITY,4167,RADFORD CITY,4176,RADFORD CITY,-9,0.21598272138228944
760,RICHMOND CITY,75424,RICHMOND CITY,75387,RICHMOND CITY,37,0.0490560033941451
770,ROANOKE CITY,27870,ROANOKE CITY,27794,ROANOKE CITY,76,0.2726946537495515
775,SALEM CITY,8641,SALEM CITY,8646,SALEM CITY,-5,0.05786367318597385
790,STAUNTON CITY,9990,STAUNTON CITY,9984,STAUNTON CITY,6,0.06006006006006006
800,SUFFOLK CITY,37986,SUFFOLK CITY,37947,SUFFOLK CITY,39,0.10266940451745381
810,VIRGINIA BEACH CITY,150861,VIRGINIA BEACH CITY,150688,VIRGINIA BEACH CITY,173,0.11467509826926775
820,WAYNESBORO CITY,8043,WAYNESBORO CITY,8041,WAYNESBORO CITY,2,0.02486634340420241
830,WILLIAMSBURG CITY,5663,WILLIAMSBURG CITY,5674,WILLIAMSBURG CITY,-11,0.19424333392194948
840,WINCHESTER CITY,7930,WINCHESTER CITY,7932,WINCHESTER CITY,-2,0.025220680958385876
